id,件名,次の一手,担当,待ち先,期日,状態,更新日,出典,st
T001,MFコネクタ再接続（COOクロ側）,完了（アベノドライで接続確認・仕訳読み取りOK）,クロ,-,8/23,完了,2026-8-23,PENDING#1,done
T002,MF検証,完了（アベノドライ反映確認→ワンダー復帰をクロが実確認・8月仕訳66件あり）,クロ,-,8/23,完了,2026-8-23,PENDING#2,done
T003,リン指示書v2の反映,初回完走（8/22-23遡り済・8月支援記録564名取得・DB8/23まで）。8/24: 夜間ジョブtriggerをenvironment_id付き(Mac接続)で作り直し（trig_01BEJbiU…・毎朝4:38）——旧env無し版がクラウド起動で空振りしていた真因を解消し無効化。今夜の便に虎の巻実例抽出＋オフィスステーション・レイアウト作成も同梱。残=社長がMac起動＋夜間Chrome/RINログイン維持。明朝シルベが成果検証,社長,社長→シルベ,8/25朝,env修正済・今夜検証,2026-8-24,PENDING#3,todo
T004,月別確定スナップショット初回（2026-08分＋7月遡り）,リンが9/11 0時以降に取得,リン,リン,9/11,指示書v2に記載済み,2026-8-23,PENDING#4,blocked
T005,オフィスステーション勤怠のRIN取り込み開始,偵察成功（8/24 12:40・社長ログイン＋Mac接続リン）: テナント=ワンダー(4m3ypn・就労B型16事業所)・日別データCSV出力あり（要「出力レイアウト」作成・予約制/非同期）。社長承認でレイアウト作成GO（項目=従業員/所属/日付/打刻/勤務時間/休暇区分）→今夜4:30夜間ジョブで①レイアウト作成②予約に着手→翌サイクルで取得→01_data/RIN_DB（個人打刻は個人情報・報告は事業所×日付の集計匿名）。COCO/RSPは別テナント（ID後日）。リンへ回答メモ設置済み 8/27: 8月分の日別…（全文は docs/PENDING.md PENDING#5）,クロ,リン→クロ,確定値=9月上旬,8月速報取得済み・締め待ち,2026-8-27,PENDING#5,todo
T006,会議費消込シートの社長消込,#33の要確認リストに統合（旧シートは参照用残置・カウント終了）,クロ,-,-,統合済み,2026-8-23,PENDING#6,done
T007,受給者証・欲しいものリスト第1弾（期限切れ33名）,神橋さん共有＝入った（8/24・INBOXに「受給者証」ショートカット→共有フォルダ 1h7Q-iOQbhcsehZShdDDcoNLYN8L2SHA7・到達確認済）。全体の中身確認は使用量配慮で木曜8/28の深夜0:30から開始（send_later設定済）→現物を見て処理方法を設計（優先順位・更新手続き段取り・欲しいものリスト第1弾）。利用者個人情報のため報告は匿名/集計・共有ドキュメントに個票を出さない。8/28 0:30 クロ着手→構造把握と形式検証を完了: ①フォルダは二重構造（ルート直下に未整理56件＋…（全文は docs/PENDING.md PENDING#7）,社長,クロ→社長（33件読み取りの承認）,承認後すぐ,読み取り手段を確立・実行承認待ち,2026-8-28,PENDING#7,blocked
T008,デスクトップのDrive同期（パソコン版Driveバックアップ）,社長が設定→クロが棚卸し,社長,社長,-,設定待ち,2026-8-23,PENDING#8,blocked
T009,365日名言集 第2弾,候補119件＋KOREKARA追補18件を納品（8/23夜・docx原稿受領→「365日名言集_第2弾候補_KOREKARA追補_2026-08-23」）。社長が残す言葉に○→クロが母集団へ統合,社長,社長,-,社長レビュー待ち（計137件）,2026-8-23,PENDING#9,blocked
T010,執事課の立ち上げ3点,(a)個人フォルダ=完了（personalに改名・権限は社長2アカウントのみ確認・資産管理ルールブックを執事課が引き継ぎ、朝レポート⑧で期日リマインド開始） (b)家計の日常データの受け渡し方法 (c)引越し・M&A条件ヒアリング,社長,社長,-,(a)完了・(b)(c)未決,2026-8-23,PENDING#10,todo
T011,経理規程v0.3レビュー納品,8/27 22:10 納品完了（期日8/26を超過。規程整備フォルダへ2点: 「経理規程v0.3_クロのレビュー_2026-08-27」＋「経理規程v0.3_決定シート_2026-08-27」スプシ）。全41条＋別表5点を通読。結論=規程としてほぼ完成だが消費税の条文が丸ごと欠落（B型は給付費非課税×生産活動課税で控除対象外消費税が必ず出る）＋インボイス条も無し→v0.4で新設。他に第32条3項の条番号誤り（第11条第2項→第4項）・第20条1項の文言重複・不正誤謬の報告ルート欠落・経理責任者の代行規定欠落を発見。…（全文は docs/PENDING.md PENDING#11）,社長,社長（S10・決算期統一）→クロ,S10=8/29まで／v0.4=9月上旬,12月決算を反映・残りは社長回答待ち,2026-8-27,PENDING#11,todo
T012,運営指導・返還試算,"配置基準・定員超過・記録0件を組み込み試算。8/25 リンが配置一覧表をカオナビ×オフィスステーション勤怠×RIN稼働率で突合→10論点を報告（社長限り・個人名はチャット/Drive限定）。最優先: ①退職者6件が配置表に残置＝差替え要／金沢は9月にサビ管2→1名（9月体制を先に決定） ②同一人物が3事業所に計上（兼務の常勤換算按分の根拠なし） ③同一事業所内2職種重複5件 ④目標工賃達成指導員10名が全員本社所属＝従事時間の根拠要 ⑤施設外（動物園清掃等 7月1,023h＝6.1人分）がどの事業所配置にも未計上＝…（全文は docs/PENDING.md PENDING#12）",社長,社長／クロ／リン,9/12,金沢解決・6:1化/分母修正済み・二宮さん/施設外名称も回答済み,2026-8-27,PENDING#12,todo
T013,経営計画書p80以降の読了・名言集追補,コダマ夜間で追補,クロ,クロ,-,未了,2026-8-23,PENDING#13,todo
T014,PLAUD過去録音の全量バックアップ（ページ4以降）,コダマ夜間で継続,クロ,クロ,-,進行中,2026-8-23,PENDING#14,todo
T015,8/25(火)過密日程の前日ブリーフ（11:00 Instagram→13:00臨時経営会議・賞与配分→16:00 RT会）,完了（8/25当日は経過。以降の過密日前日ブリーフはシルベ定例で対応）,クロ,-,8/24,完了,2026-8-28,PENDING#15,done
T016,支援記録品質レイヤー開発（仮名化バグ★1★2最優先）,夜間帯で着手,クロ,クロ,-,バックログ,2026-8-23,PENDING#16,todo
T017,不足書類の提出→照合→保管パイプライン,宛先・フォルダ構成の決定,社長,社長,-,設計待ち,2026-8-23,PENDING#17,blocked
T018,バクラク2026年分,完了（誤認と判明・2026月別16ファイルも社長がドラッグ済み 8/23）,クロ,-,-,完了,2026-8-23,PENDING#18,done
T019,Chatworkスキャンの初回実行（トークン有効性確認＋ルーム一覧の概況）,8/27ミミ木曜定例はRIN停止対応を優先しスキップ→次回9/3木曜に実施（それまでにAPI疎通だけ巡回で先行確認） → 9/3 シルベ: .env未設定（CHATWORK_API_TOKEN無し）のため初回スキャンは未実行。チサトのクラウド収集（毎朝7:00）が動いているので、クロ側スキャンは「チサトの日報を読む」で代替可＝この行は#77に統合して完了扱いとする,クロ,クロ,9/3,#77へ統合（完了）,2026-9-3,PENDING#19,done
T020,MF月次取得のバタコ移管,社長判断で保留（8/23）。当面は従来方式（クロ=ワンダー常時＋他法人は切替依頼）。ソロバンprompt訂正済み（MFに10日締めなし）,社長,社長,-,保留,2026-8-23,PENDING#20,blocked
T021,会議費・木村さん確認シート,社長のチェック完了後に確認ルートへ回す（ルート詳細はチャット管理）,社長,社長,-,社長チェック待ち,2026-8-23,PENDING#21,blocked
T022,00_INBOX整理の定常化,初回整理完了（書籍3点→書籍_原稿／LINEWORKS報告書→LineWoksPJ／重複削除／RIN引き継ぎ2フォルダは社長がドラッグ移動・クロ確認済み）。以後スズが毎日実施,クロ,-,毎日,定常運用へ,2026-8-23,PENDING#22,done
T023,チャット分離（セバス執事・コダマ音声）,完了（社長がチャット2つを作成→クロが辞令＋定例を紐付け。セバス=毎朝7:37定例／コダマ=毎朝4:30定例・旧定例は無効化・自動再試行トリガーも削除済み）。残=初回稼働の確認（明朝）と両チャットでのDrive/Plaud接続確認,社長,社長→クロ,8/24朝,紐付け完了,2026-8-23,PENDING#23,done
T024,経費・用途不明確認シートの日々更新,#33の要確認リストに統合（社長要望「1枚にして」8/23。旧シートは参照用残置）,クロ,-,-,統合済み,2026-8-23,PENDING#24,done
T025,リンの新方式パーサー検証（夜間ジョブ35分の1化）＝宿題#18,8/28 検証完了→切替は見送りで決着（クロ承認）。リンがRINの一括出力(Zip)を実データ検証: 本文の途中切れなし・共通666件中650件完全一致・相違16件は並び順のみ——だが記録者（書いた職員）の列が存在しない（日別ページにも無い＝staffNameは空テンプレート）。記録者を失うと記録者ランキング・按分・配置の裏取りが全て不能になるため、現行564名方式（約28分）を維持。代わりに①一括出力は毎月11日以降に1回かけて退所者の記録を回収する補完として併用（画面操作は社長依頼・クロが毎月起票）②夜間ジョブ…（全文は docs/PENDING.md PENDING#25）,リン,リン,改修=移設と並行,見送り決着・補完運用へ,2026-8-28,PENDING#25,done
T026,ユカ指示書v1.1＋共通ルールv1.1改訂,大原則4明文化＋新設「00_連絡板」の場所ルールを本文に反映して連絡板/指示書_現行版へ。CEO裁定(8/24未明): ユカ案2を承認——個人の健康語（メンタル/うつ/体調不良等）は除外継続・労務安全事象（労災/診断書/自傷/発作/誤薬/転倒）は件数・ルーム集計のみ抽出可（個人名・本文引用不可）。Q3=_v2命名承認/Q4=月次は前月分のみ、も指示書v1.1に反映。ユカへ回答済み（クロより_回答と追加依頼_2026-08-24）,クロ,クロ,8/24,文言確定・改訂版作成待ち,2026-8-24,PENDING#26,todo
T028,00_連絡板の新設（INBOXと指示置き場の分離・CEO発案8/23）,人別フォルダ制に再編完了（_共通/リン/バタコ/ユカ・指示書と質問回答を各人フォルダへ・関連トリガー8本を更新・Chatwork変数名の誤りも修正）。3名全員の新場所での稼働を確認（リン報告設置・バタコREADME更新・ユカ新指示で巡回）,クロ,-,8/23,完了,2026-8-23,PENDING#28,done
T027,Gmail仕分けのクロ正式引き継ぎ（引き継ぎ書8/23受領）,定例3本は再有効化済み（Cowork表記と同一物と判明）。宿題: (a)完了（社長判定8/23=迷惑・4番号を仕分けルールに反映済み） (b)頂道塾第115回=要点doc納品済み・社長がショートカット追加済み（8/23）・残=音声2本の扱い検討 (c)配信停止リスト（今夜21:15の週次レポートで候補提示） (d)林様（Ryo Hayashi・財務顧問案件）のDrive共有通知を例外化=削除候補にせず要確認で受信トレイに残す（両トリガーに反映済み・8/24）,社長,クロ／社長,-,引き継ぎ完了・宿題4件,2026-8-24,PENDING#27,todo
T029,PLAUD音声の活用（3階建て・CEO承認8/23「3階までやりたい」）,コダマ定例を3階建て版に改訂済み（①決定事項キュー→スズが毎日台帳転記 ②社長語録_候補プール ③コンテンツ素材バンク=書籍・SNS素材）。初回は明朝4:30。素材バンクの書籍・SNS展開はネタが貯まったら企画提案,クロ,クロ,8/24朝,実装完了・初回待ち,2026-8-23,PENDING#29,todo
T030,社長ダッシュボード「クロの番台」運用開始,"公開済み（社長待ちToDo・経費3シート常設リンク・定例時刻表）。スズが毎日18時に進捗数字とToDoを更新（同一URL維持）。8/25拡張: ①「📊 分析・レポート」タブ新設（通所トレンド・表彰パネル・執務室/台帳へ集約）②「事業所別・月次の推移（延べ通所）」表を今日の番台に追加（16事業所＋全社・8月着地見込 約7,249・前月比）③別ページ「通所トレンド 月次前年比」を新規作成し番台から紐付け（当年×前年の折れ線＋下振れ要因の考察）④ブラウザで暗くなる不具合をcolor-scheme固定で解消。top3は表彰…（全文は docs/PENDING.md PENDING#30）",クロ,クロ→スズ,毎日,稼働中・8/25大改修,2026-9-5,PENDING#30,done
T031,ダイビング資格ロードマップの執事課引き継ぎ,引き継ぎmdをpersonalへ移設しセバスに臨時発火で統合指示済み。以後の進行はセバスのチャットで,セバス,セバス,-,引き継ぎ済み,2026-8-23,PENDING#31,done
T032,リン収集の欠測バックアップ体制,現設計で1〜2日の欠測は翌晩自動回復（前日分まで遡り取得・当月記録は丸ごと取り直し）。追加対応: (a)欠測日はシルベが「前日版で代替」と明示 (b)3日連続欠測でアラート (c)社長の別PC到着時にリン環境の複製手順書を作成。(d)接続ヘルスチェック恒久化（CEO指示 8/24未明）: リン=RIN＋オフィスステーション／バタコ=バクラクを各ジョブ冒頭で確認・切れたら「接続切れ報告」→シルベ8:07で社長へ（依頼メモ両名へ設置済み・指示書追記は本人裁量）。(e)深夜ヘルスビート（CEO指示 8/24未明・8/25…（全文は docs/PENDING.md PENDING#32）,社長,クロ／社長,PC到着時,稼働中・(c)待ち,2026-8-24,PENDING#32,todo
T033,会議費・要確認リスト（完全版・2025-04以降82件）,1枚化＋PDF添付＋スプシ化 完了（8/24 11:57 クロ）: 社長記入用のGoogleスプレッドシートをfinance配下に納品（全82件・領収書PDF直リンク82/82・⚠自己承認フラグ付・確認結果列は記入待ち）。ID=local_sources.yaml。経緯: ①明細PDF全104件検収済み ②バタコが申請No→直リンクCSV生成→クロが要確認リストへ流し込み＋2025年3月以前除外（CEO指示・木村さん入社前）で完全版CSV化→バタコのfinance投入はtext/csvのままだったのでクロがGoog…（全文は docs/PENDING.md PENDING#33）,クロ,第三者委員会,-,タダス初回完了・依頼3件,2026-9-5,PENDING#33,doing
T034,中計冊子の入稿前チェック（入稿締切8/24）,校正完了・「中計冊子_校正リスト_2026-08-23」をINBOXに納品（全140ページ・高9件）。08231100版=最新と社長確認済み（ファイル名の日付違いのみ）。入稿実務=神橋さん。残=校正リストの修正→入稿。表紙データが別ファイルなら別途確認。8/24コア会議冒頭で最終確認（アジェンダ案納品済み）。8/24: 社長が神橋さんへ修正・入稿を依頼完了。発表会の叩きも確定。 残=神橋さんの入稿実務,クロ,神橋さん,8/24入稿,神橋さんへ依頼済・入稿実務待ち,2026-8-24,PENDING#34,todo
T035,支援記録虎の巻・本冊の全データ検証（8/23 21時MTG）,"8/24 リン検証完了（虎の巻検証_2026-08-24.md・全事業所×匿名集計・件数比率のみ）。冊子の数字が全項目でDB実測と乖離: 本文なし率 冊子11.3%→実測2.2%(直近12か月1.0%)／在宅比率41.3%→47.9%／ケース記録 事業所別0.6%(あべの)〜25.6%(十三)。総件数67,806の出所は特定できず（全件328,388/RIN194,345/最も近い=2026-02以降65,201）。実例F=奈良「10枚留め」80件等・実在確認OK。→クロ主導で本冊を実測値に差替え＋実例大幅増量。リ…（全文は docs/PENDING.md PENDING#35）",クロ,クロ／リン,本冊更新=今週,検証完了・本冊更新中,2026-8-24,PENDING#35,todo
T036,社内アラート基盤（CEO発案 8/24未明「分析をどんどんしてアラートを社内に出せるように」）,クロが設計書v1を作成: 検知条件（通所の急落・欠席連続・記録0件・支給決定期限切れ・経費重複等の閾値）／宛先ルール（施設長・本部・社長）／配信チャネル（Chatwork開通が鍵・LINE WORKS・メール）／誤報対策=まず社長のみ配信で1か月チューニング→社内展開。8月着地予測▲10%の通所急落が初号アラート案,クロ,クロ,8月中,設計中,2026-8-24,PENDING#36,todo
T037,広報・SNSの推進（CEO指示 8/24未明「SNS詰めていかないと。広報活動していこう」）,クロが散在する広報プロジェクトを棚卸し（①議事録=辻井さん広報パート・8月末期日群 ②LINE WORKSログの広報スレッド ③Gmailの関連案件 ④コダマの素材バンク ⑤中計の広報系目標）→8/25朝までに「広報・SNS進め方提案v1」を納品（同日11:00のInstagram予定の前）,クロ,クロ,8/25朝,棚卸し中,2026-8-24,PENDING#37,todo
